customer_id,age,annual_income,credit_score,loan_amount,existing_loans,region,employment_status,gender,marital_status,application_date,default_flag
101664,47.0,403439.97,303.0,367574.17,0,East,Retired,MALE ,Divorced,2024-08-30,0
100111,62.0,503353.73,824.0,318759.95,0,East,Self-Employed,Female,Single,02/10/2023,0
101022,67.0,309939.14,553.0,302559.16,3,West,Retired,male,Widowed,09-Jan-2024,0
100029,43.0,841705.72,449.0,432910.4,0,North,Retired,M,Single,11/01/2023,0
101882,28.0,893996.01,845.0,116444.16,1,West,Employed,male,Divorced,18-Nov-2024,0
100383,31.0,586779.64,706.0,333629.06,1,South,,F,Divorced,05/20/2023,0
101472,43.0,617565.95,522.0,604135.24,4,West,Employed,M,Widowed,2024-06-21,0
101873,71.0,608031.48,386.0,338033.51,4,South,,MALE ,Widowed,14/11/2024,1
100306,35.0,743263.08,386.0,305901.86,0,Central,Unemployed,Male,Divorced,22-Apr-2023,0
100056,49.0,804033.67,398.0,302559.44,1,North,Employed,F,Married,2023-01-21,0
100771,74.0,445061.52,816.0,267570.17,2,North,Self-Employed,FEMALE,Single,10/09/2023,0
100777,24.0,817807.0,541.0,423218.84,2,East,Employed,Male,Widowed,11/10/2023,0
101693,40.0,397922.78,848.0,47504.32,3,East,,FEMALE,Widowed,10/09/2024,0
101271,24.0,424373.37,515.0,334445.9,1,North  ,Retired,FEMALE,Single,04/09/2024,1
101576,49.0,846870.68,634.0,521814.43,0,Central,Employed,MALE ,Divorced,2024-07-29,0
100420,70.0,378358.04,,344544.89,0,West,Retired,female,Married,2023-06-03,0
100819,74.0,-100000.0,827.0,828620.96,4,Central,Unemployed,Male,Widowed,10/27/2023,0
101510,37.0,702928.45,308.0,663664.97,3,Central,Employed,Female,Married,05-Jul-2024,0
101182,57.0,681840.62,765.0,323431.32,1,South  ,Employed,male,Single,07-Mar-2024,0
100494,-5.0,468847.24,320.0,336562.86,1,East,Retired,M,Divorced,30-Jun-2023,0
100324,73.0,540236.52,647.0,280099.53,3,North,Retired,M,Widowed,2023-04-29,0
101436,42.0,475610.7,394.0,362382.62,4,West,Retired,Male,Single,2024-06-08,0
101133,61.0,714164.68,378.0,405856.76,4,South,,F,Married,18/02/2024,1
100678,47.0,663364.48,518.0,234102.26,1,North,Employed,MALE ,Widowed,05-Sep-2023,0
100903,68.0,867983.59,705.0,530226.52,0,East,Employed,F,Divorced,11/26/2023,1
101366,35.0,641599.14,786.0,602648.64,2,South,Employed,Female,Divorced,13-May-2024,0
101151,46.0,703774.53,693.0,399824.5,1,East,Self-Employed,MALE ,Single,02/25/2024,0
101555,27.0,596550.78,638.0,488494.13,0,North,Retired,Male,Married,07/21/2024,0
100351,20.0,278736.13,511.0,592200.08,4,Central,Self-Employed,M,Widowed,05/09/2023,0
101518,46.0,621419.46,360.0,483717.55,1,West,Self-Employed,female,Single,08-Jul-2024,0
101463,20.0,269450.18,607.0,573362.66,3,East,Retired,Male,Divorced,06/18/2024,0
100818,55.0,953220.92,361.0,426875.77,1,North,Retired,FEMALE,Widowed,26-Oct-2023,0
100614,57.0,611743.53,524.0,453956.72,4,North,Self-Employed,MALE ,Divorced,13-Aug-2023,0
100070,63.0,510557.16,490.0,503043.05,1,West,Self-Employed,female,Single,26-Jan-2023,0
100450,72.0,898872.57,,238687.04,4,South,Retired,F,Single,14-Jun-2023,0
101307,31.0,,669.0,268611.34,3,North,Retired,female,Divorced,04/22/2024,0
101578,24.0,528221.61,628.0,501760.43,0,East,Self-Employed,FEMALE,Divorced,30-Jul-2024,0
101949,36.0,1043980.07,667.0,655891.04,2,Central,Retired,M,Single,12/12/2024,0
101185,35.0,438313.98,,605976.24,4,Central,Unemployed,FEMALE,Widowed,08/03/2024,1
100869,20.0,704896.23,880.0,341997.45,1,North,Employed,male,Widowed,14/11/2023,0
100353,42.0,459872.79,,467663.09,0,Central,Employed,Male,Widowed,09/05/2023,0
101468,62.0,410497.1,475.0,516582.48,0,West,Unemployed,Male,Divorced,2024-06-20,0
100974,26.0,673706.71,1200.0,140639.33,4,West,Retired,Female,Divorced,22-Dec-2023,0
101339,41.0,1133845.3,336.0,457430.67,2,East,Employed,female,Divorced,05/03/2024,0
101550,33.0,1008998.5,862.0,368885.76,1,West,Unemployed,Male,Divorced,20-Jul-2024,0
100124,66.0,652126.41,492.0,276384.03,3,South,Retired,MALE ,Single,2023-02-15,0
100210,32.0,687156.77,309.0,456410.44,0,South,Employed,female,Single,18-Mar-2023,1
100948,72.0,-111908.14,578.0,483905.51,3,South,Retired,Female,Single,2023-12-13,0
101078,41.0,401416.22,469.0,283487.33,3,Central,Unemployed,FEMALE,Widowed,29-Jan-2024,0
101646,37.0,551943.5,703.0,371890.12,4,North,Retired,female,Widowed,24-Aug-2024,0
101493,36.0,335146.73,801.0,298802.77,3,West,Unemployed,male,Single,29/06/2024,0
101111,31.0,110998.0,782.0,290393.13,0,North,Self-Employed,FEMALE,Divorced,02/10/2024,0
100584,41.0,468914.37,355.0,364572.95,3,Central,Employed,Male,Married,2023-08-02,0
101333,64.0,527444.46,446.0,123118.17,1,South,Self-Employed,M,Married,01/05/2024,0
100352,35.0,947603.39,404.0,411216.52,2,East,Employed,Female,Single,2023-05-09,0
101041,66.0,947196.03,779.0,685081.04,0,Central,Self-Employed,M,Single,16/01/2024,0
101754,53.0,972482.42,788.0,437308.34,3,South,Self-Employed,female,Widowed,02-Oct-2024,1
101566,73.0,686378.7,387.0,425667.08,2,Central,Self-Employed,MALE ,Single,25-Jul-2024,0
100519,51.0,869514.64,592.0,391993.77,1,South,Retired,FEMALE,Married,07/09/2023,0
100069,44.0,896534.08,569.0,438468.84,0,West,Unemployed,F,Married,26/01/2023,0
100982,49.0,1150240.78,707.0,187724.98,0,East,Unemployed,female,Married,25-Dec-2023,1
101630,50.0,721722.78,617.0,165427.8,2,South,Employed,Male,Widowed,18-Aug-2024,0
101080,70.0,774480.73,658.0,339905.66,1,South,Retired,male,Single,2024-01-30,0
101560,34.0,557145.57,486.0,236401.0,1,West,Unemployed,M,Divorced,2024-07-23,1
101013,35.0,,626.0,709753.64,3,Central,Employed,Male,Widowed,05/01/2024,1
101833,22.0,585096.49,875.0,447611.57,4,Central,,FEMALE,Single,31/10/2024,0
100211,58.0,741552.4,482.0,274171.58,4,East,Unemployed,Female,Widowed,03/19/2023,0
101010,33.0,704318.29,504.0,388384.17,3,North,Employed,F,Divorced,04-Jan-2024,0
101567,52.0,606257.99,711.0,463857.19,3,East,Self-Employed,male,Divorced,07/26/2024,0
100099,25.0,382009.36,756.0,377324.74,1,South,Self-Employed,Male,Divorced,02/06/2023,0
101310,47.0,1121547.29,711.0,656430.19,1,East,Self-Employed,MALE ,Divorced,23-Apr-2024,0
100730,59.0,,810.0,483732.79,0,East,Retired,male,Divorced,24-Sep-2023,0
100529,70.0,730699.37,315.0,287467.14,3,North,Employed,Male,Widowed,13/07/2023,1
100298,34.0,621125.28,315.0,404670.23,2,West,Retired,F,Widowed,19-Apr-2023,0
101018,20.0,,382.0,300497.58,4,South,Employed,M,Married,07-Jan-2024,0
101330,43.0,462499.57,747.0,307102.4,0,East,Unemployed,male,Single,30-Apr-2024,1
100712,59.0,579849.89,538.0,421823.96,3,West,Unemployed,male,Divorced,2023-09-18,0
101329,37.0,1293129.36,,566252.14,3,Central,Unemployed,male,Single,30/04/2024,0
100650,45.0,205753.34,817.0,436010.73,2,Central,Retired,FEMALE,Widowed,26-Aug-2023,1
100239,53.0,471915.73,411.0,411882.26,0,West,Self-Employed,Male,Divorced,03/29/2023,0
101961,74.0,312394.65,628.0,420313.9,4,North  ,Unemployed,M,Married,17/12/2024,0
101721,60.0,971710.57,672.0,442929.24,3,South,Unemployed,Male,Widowed,20/09/2024,1
101846,40.0,516551.02,700.0,290802.93,1,East,Retired,MALE ,Widowed,05-Nov-2024,0
101876,31.0,832953.35,730.0,465769.54,4,North,Self-Employed,Male,Widowed,2024-11-16,0
100394,59.0,879077.86,379.0,422738.48,3,West,Self-Employed,Female,Widowed,24-May-2023,0
101353,70.0,754866.22,755.0,619276.13,2,Central,Employed,Male,Divorced,09/05/2024,0
101229,34.0,604923.24,815.0,386193.62,2,East,,male,Widowed,24/03/2024,0
101716,54.0,477471.11,727.0,401107.75,1,South,Self-Employed,MALE ,Divorced,2024-09-18,0
101144,36.0,774085.76,448.0,253624.25,3,Central,Unemployed,Female,Single,2024-02-22,0
101620,33.0,1002540.5,,467113.11,0,West,Unemployed,M,Widowed,2024-08-14,0
100802,47.0,,894.0,371800.13,4,South,Unemployed,M,Single,20-Oct-2023,0
100128,50.0,956573.24,395.0,367060.9,4,South,Retired,male,Divorced,2023-02-16,0
100862,24.0,593386.35,342.0,330709.72,3,North,Unemployed,F,Divorced,11-Nov-2023,0
100275,45.0,1070896.55,726.0,471611.59,2,East,Self-Employed,MALE ,Divorced,04/11/2023,0
100534,50.0,493849.15,567.0,438654.36,0,East,Unemployed,FEMALE,Married,15-Jul-2023,0
101055,74.0,682482.46,842.0,517102.16,2,West,Unemployed,FEMALE,Widowed,01/21/2024,0
101425,64.0,235028.03,825.0,672201.3,0,Central,Unemployed,MALE ,Married,04/06/2024,0
101376,72.0,,389.0,110269.58,4,West,Self-Employed,MALE ,Widowed,2024-05-17,0
101345,74.0,992196.16,702.0,285161.81,4,North,Employed,female,Married,06/05/2024,0
100526,70.0,382074.67,817.0,764000.16,2,East  ,Employed,M,Divorced,12-Jul-2023,0
100485,31.0,623693.97,620.0,191423.13,2,East,Unemployed,Male,Single,27/06/2023,0
101809,72.0,788978.01,355.0,448702.25,0,Central,Self-Employed,MALE ,Widowed,22/10/2024,0
101970,65.0,1005406.74,836.0,486153.14,0,North,Unemployed,FEMALE,Widowed,20-Dec-2024,0
101891,31.0,565098.74,352.0,278305.55,0,East,Self-Employed,female,Married,11/21/2024,0
101559,66.0,632496.79,558.0,66195.52,2,West,Employed,Male,Divorced,07/23/2024,0
101609,25.0,446043.34,469.0,376296.82,3,West,Employed,M,Single,10/08/2024,0
101812,56.0,397282.77,856.0,269142.23,0,Central,Retired,Female,Widowed,2024-10-23,0
101190,41.0,447636.57,421.0,401958.09,2,South,Employed,female,Divorced,10-Mar-2024,0
100527,26.0,561596.31,587.0,277448.7,2,South,Employed,FEMALE,Married,07/12/2023,0
101235,37.0,672700.01,485.0,609027.93,4,East,Employed,M,Single,03/27/2024,0
100530,52.0,362478.63,381.0,667843.11,4,North,Unemployed,Male,Married,13-Jul-2023,0
100900,18.0,819630.99,419.0,169587.26,2,West,Unemployed,F,Widowed,2023-11-25,0
101870,20.0,707668.08,677.0,485859.27,2,West,Unemployed,FEMALE,Divorced,13-Nov-2024,0
101258,48.0,708574.59,535.0,437851.87,0,South,Self-Employed,FEMALE,Married,04-Apr-2024,1
100817,24.0,821940.28,518.0,318051.35,0,North,Retired,female,Married,26/10/2023,0
100907,27.0,383881.81,425.0,403682.47,2,North,Employed,FEMALE,Divorced,11/28/2023,1
101040,58.0,372267.23,323.0,143269.09,0,North,Unemployed,female,Divorced,2024-01-15,0
101453,32.0,184701.58,496.0,493113.22,1,East,Retired,Female,Divorced,14/06/2024,1
100679,71.0,620207.79,,393712.3,0,West,Self-Employed,female,Divorced,09/05/2023,1
101164,47.0,1234461.28,511.0,533504.07,4,East,Self-Employed,M,Widowed,2024-03-01,0
101536,26.0,771113.36,603.0,533003.51,2,Central,Unemployed,F,Single,2024-07-14,0
100115,,758148.61,810.0,507019.07,0,West,Self-Employed,male,Married,02/11/2023,0
100965,51.0,434203.58,403.0,255688.43,2,West,Self-Employed,F,Widowed,19/12/2023,0
100342,53.0,563119.15,351.0,338448.89,4,South,Unemployed,MALE ,Single,05-May-2023,0
101691,68.0,605014.98,730.0,540699.84,1,South,Unemployed,Male,Married,09/09/2024,0
101941,32.0,350220.72,410.0,391021.84,1,East,Retired,male,Divorced,09/12/2024,0
101996,49.0,465931.72,426.0,436803.24,4,West,Retired,Male,Divorced,2024-12-29,0
100254,55.0,972640.94,866.0,442493.02,1,Central,Retired,FEMALE,Widowed,03-Apr-2023,0
101826,23.0,520925.6,820.0,384252.29,4,North,Employed,male,Single,28-Oct-2024,0
101831,72.0,793340.62,555.0,566558.65,3,East,Retired,FEMALE,Widowed,10/30/2024,0
101950,70.0,1107738.57,471.0,699743.35,2,North,Retired,F,Single,13-Dec-2024,0
101090,46.0,197446.67,327.0,587806.53,3,East,Employed,M,Divorced,03-Feb-2024,0
101274,61.0,448501.6,743.0,282589.91,1,South,Retired,Male,Divorced,10-Apr-2024,1
100120,43.0,264093.7,841.0,302188.81,3,East,Unemployed,M,Single,2023-02-13,0
101943,19.0,528752.57,1200.0,633034.7,4,East,Unemployed,Male,Single,12/10/2024,0
100579,23.0,204815.47,662.0,447753.88,1,East,Unemployed,female,Divorced,07/31/2023,0
101301,40.0,188415.75,356.0,523334.4,4,South,Self-Employed,female,Married,20/04/2024,0
100256,56.0,845639.71,332.0,93871.17,3,Central,Retired,Female,Single,2023-04-04,0
100808,40.0,724228.97,,529959.61,1,North,Employed,F,Single,2023-10-23,0
100135,35.0,799586.76,875.0,327862.5,1,Central,Unemployed,female,Single,02/19/2023,0
101110,54.0,663438.14,567.0,564273.11,3,North,Employed,F,Divorced,10-Feb-2024,0
101581,30.0,216255.98,626.0,527329.89,2,North,Self-Employed,MALE ,Divorced,31/07/2024,0
100939,46.0,658092.53,730.0,440800.17,0,West,Retired,male,Widowed,12/09/2023,0
100464,18.0,417752.71,887.0,320012.17,1,North,Employed,F,Single,2023-06-19,0
100438,22.0,823667.65,704.0,691714.34,1,South,Retired,Female,Married,09-Jun-2023,0
101344,28.0,719810.39,444.0,258266.56,1,East,Self-Employed,Male,Divorced,2024-05-05,0
101047,52.0,1047554.7,673.0,524087.9,0,South,Self-Employed,M,Widowed,01/18/2024,0
100930,48.0,763254.69,840.0,197230.61,1,South,Self-Employed,M,Divorced,06-Dec-2023,0
100109,58.0,979753.3,851.0,385118.24,2,North,Self-Employed,male,Single,09/02/2023,0
100361,68.0,619047.68,748.0,310790.9,4,North,Retired,FEMALE,Married,12/05/2023,0
100350,48.0,744011.09,676.0,270145.27,0,West,Unemployed,Female,Divorced,08-May-2023,0
101632,23.0,909572.48,603.0,568719.39,3,West,Self-Employed,MALE ,Divorced,2024-08-18,0
101756,37.0,694911.67,470.0,308229.27,2,Central,Self-Employed,Male,Married,2024-10-03,0
100620,42.0,885691.45,570.0,447771.71,0,Central,Employed,male,Divorced,2023-08-15,0
100233,61.0,319364.72,659.0,323368.44,2,South,Retired,M,Widowed,27/03/2023,0
101525,20.0,841488.86,767.0,621521.29,2,South,Unemployed,Female,Single,10/07/2024,0
101427,,428134.04,485.0,667284.43,2,South,Employed,Male,Widowed,06/05/2024,0
100692,71.0,682155.4,383.0,446985.48,2,East,Employed,FEMALE,Widowed,2023-09-10,0
101925,25.0,,571.0,598710.54,1,Central,Self-Employed,Female,Married,03/12/2024,0
100788,49.0,,1200.0,376590.47,2,South,Retired,M,Widowed,2023-10-15,0
101342,24.0,715355.1,696.0,444764.69,1,East,Employed,M,Divorced,05-May-2024,1
100881,66.0,553862.47,559.0,312127.96,4,South,Retired,female,Married,18/11/2023,0
100756,60.0,1130736.55,623.0,561868.57,3,East,Self-Employed,male,Divorced,2023-10-04,1
100479,24.0,1231444.95,722.0,514801.38,2,West,Retired,Female,Single,06/24/2023,0
100552,65.0,166367.32,783.0,448519.76,0,West,Unemployed,male,Divorced,2023-07-21,0
100247,41.0,-12927.08,849.0,718251.25,0,North,Unemployed,male,Married,04/01/2023,0
101744,29.0,826633.13,575.0,629894.18,4,East,Retired,male,Divorced,2024-09-28,0
100344,69.0,851142.58,440.0,292880.34,4,South,Unemployed,male,Single,2023-05-06,1
101859,59.0,1110537.66,506.0,190882.62,1,North,Retired,M,Widowed,11/09/2024,0
100567,32.0,1152188.85,351.0,490828.78,2,Central,Self-Employed,F,Married,07/27/2023,0
100570,72.0,228163.08,496.0,590835.83,2,East,Self-Employed,male,Divorced,28-Jul-2023,0
100307,49.0,494099.83,385.0,619849.03,4,East,Unemployed,F,Married,04/23/2023,0
101782,19.0,837441.39,449.0,422702.04,3,Central,Employed,female,Divorced,12-Oct-2024,0
100212,62.0,-100000.0,657.0,297213.58,1,East,Retired,Male,Divorced,2023-03-19,1
100490,71.0,672685.64,681.0,479324.12,2,East,Self-Employed,Male,Widowed,28-Jun-2023,0
100904,44.0,509548.36,483.0,535355.11,4,South,Employed,MALE ,Single,2023-11-27,0
100231,66.0,,300.0,288070.79,2,South,Employed,male,Divorced,03/26/2023,0
100414,19.0,-66763.74,727.0,526590.86,4,North,Employed,F,Divorced,01-Jun-2023,0
101351,40.0,1208596.56,820.0,764120.81,0,South,Unemployed,M,Single,05/08/2024,0
100281,45.0,607108.87,324.0,221127.71,0,North,Employed,F,Divorced,13/04/2023,0
101967,44.0,461195.15,352.0,605001.88,2,North,Unemployed,male,Married,12/19/2024,0
101239,20.0,535960.95,490.0,388023.05,2,East,Self-Employed,MALE ,Single,03/28/2024,0
100433,25.0,945632.69,631.0,69596.1,2,West,Self-Employed,MALE ,Divorced,08/06/2023,0
100049,62.0,663043.33,461.0,244883.33,3,North,Unemployed,Female,Married,18/01/2023,0
100297,43.0,637610.29,404.0,496117.77,1,South,Unemployed,M,Married,19/04/2023,0
101923,42.0,445610.4,357.0,152640.05,1,West,Self-Employed,FEMALE,Widowed,12/03/2024,0
100482,32.0,501694.95,407.0,249416.78,4,North,Retired,Female,Divorced,26-Jun-2023,0
100706,18.0,762505.17,613.0,425503.65,4,North,Self-Employed,MALE ,Divorced,15-Sep-2023,0
100774,66.0,1019348.42,464.0,530287.29,3,South,Retired,male,Single,10-Oct-2023,0
101125,66.0,682968.45,829.0,533636.47,0,South,Employed,female,Widowed,15/02/2024,0
101124,65.0,807351.0,745.0,82134.41,1,South,Employed,Male,Divorced,2024-02-15,0
101352,46.0,582400.76,410.0,415363.42,1,West,Employed,Female,Widowed,2024-05-08,0
100173,59.0,1079698.75,499.0,308686.46,2,East,Unemployed,FEMALE,Married,05/03/2023,0
100809,74.0,313299.36,657.0,437548.49,4,North,Unemployed,M,Divorced,23/10/2023,0
100429,58.0,800663.11,583.0,311517.8,4,West,Self-Employed,Male,Widowed,06/06/2023,0
100495,41.0,436560.19,465.0,522710.51,2,South,Employed,Female,Divorced,06/30/2023,0
101735,63.0,858844.25,722.0,457434.26,0,Central,Self-Employed,F,Married,09/25/2024,0
100237,42.0,487359.09,374.0,282148.45,0,Central,Unemployed,MALE ,Married,28/03/2023,0
101747,39.0,614649.33,628.0,265586.68,1,North,Employed,Female,Married,09/29/2024,0
100543,27.0,666978.29,337.0,303847.61,1,West,Unemployed,M,Married,07/18/2023,0
100023,70.0,867638.9,576.0,279377.51,0,East,Employed,Female,Single,01/09/2023,0
101669,59.0,567697.65,580.0,296176.89,2,East,Unemployed,M,Single,01/09/2024,1
100063,73.0,946908.6,545.0,353870.84,1,South,Unemployed,male,Widowed,01/24/2023,0
100630,60.0,709650.2,,446705.97,4,Central,Self-Employed,male,Divorced,19-Aug-2023,1
100188,31.0,,739.0,552576.6,4,East,Self-Employed,MALE ,Divorced,2023-03-10,0
101879,23.0,508069.46,345.0,200605.19,0,South,Unemployed,male,Single,11/17/2024,0
100861,70.0,430972.52,775.0,546099.45,2,East,Unemployed,M,Single,11/11/2023,0
101677,41.0,1011764.67,371.0,470902.46,2,East,Self-Employed,Male,Married,04/09/2024,0
100368,19.0,1114873.7,344.0,448944.84,0,West,,MALE ,Divorced,2023-05-15,0
100270,34.0,792634.26,478.0,483081.45,2,South,Retired,male,Married,09-Apr-2023,0
101617,46.0,765054.66,664.0,198507.33,1,North,Employed,M,Married,13/08/2024,0
100873,25.0,503169.81,568.0,46376.88,2,South,Self-Employed,FEMALE,Divorced,15/11/2023,0
100196,37.0,273168.59,715.0,248627.45,3,South,Employed,FEMALE,Married,2023-03-13,0
100483,63.0,568613.75,590.0,509130.05,4,Central,Unemployed,female,Single,06/26/2023,0
101216,46.0,399406.06,694.0,306381.84,4,Central,Unemployed,FEMALE,Divorced,2024-03-20,0
101269,20.0,640225.27,645.0,511033.46,2,East,,Male,Divorced,08/04/2024,0
101272,71.0,573756.7,807.0,480614.47,0,East,Self-Employed,F,Married,2024-04-09,0
101313,66.0,958811.85,660.0,211650.97,1,East,Unemployed,Female,Widowed,24/04/2024,0
100100,65.0,763755.93,623.0,395296.79,4,East,Employed,Female,Married,2023-02-06,0
101828,52.0,818901.66,813.0,580567.32,2,West,Retired,MALE ,Single,2024-10-29,1
101587,22.0,747259.4,861.0,394382.04,3,Central,Employed,male,Married,08/02/2024,0
101968,65.0,-34883.28,494.0,643674.68,0,South,Employed,MALE ,Divorced,2024-12-19,0
100220,25.0,741340.94,543.0,479987.8,0,South,Employed,male,Married,2023-03-22,0
100555,46.0,591468.62,627.0,77145.13,2,Central,Self-Employed,FEMALE,Single,07/22/2023,0
101673,61.0,797160.04,1200.0,341384.36,3,South,Unemployed,female,Divorced,02/09/2024,0
100480,34.0,1029110.03,633.0,186740.9,1,East,Retired,FEMALE,Divorced,2023-06-25,0
101676,26.0,410790.82,790.0,404736.12,2,Central,Employed,FEMALE,Married,2024-09-04,0
101446,71.0,289662.3,307.0,260409.47,3,South,Self-Employed,Male,Divorced,12-Jun-2024,0
100733,62.0,368011.74,800.0,598136.5,1,South,Employed,MALE ,Widowed,25/09/2023,0
100757,39.0,931838.69,332.0,401198.4,1,Central,Retired,male,Divorced,04/10/2023,0
100979,50.0,,603.0,524190.74,2,North,Retired,Male,Widowed,12/24/2023,0
100611,44.0,96453.16,504.0,453752.9,0,South,Unemployed,FEMALE,Divorced,08/12/2023,0
101987,30.0,117957.61,588.0,425804.67,0,Central,Employed,FEMALE,Single,12/26/2024,0
100857,21.0,430089.39,472.0,336087.16,3,West,Retired,F,Married,09/11/2023,0
100316,59.0,848959.66,591.0,626670.48,0,West,Self-Employed,F,Widowed,2023-04-26,0
100596,51.0,363291.98,347.0,234012.63,2,South,Retired,Female,Widowed,2023-08-06,0
101942,67.0,785969.25,339.0,517377.73,1,North,Unemployed,FEMALE,Single,10-Dec-2024,0
101507,45.0,423095.62,509.0,424141.32,4,West,Employed,F,Single,07/04/2024,0
101242,72.0,541449.89,601.0,238415.82,2,North,Unemployed,Female,Divorced,29-Mar-2024,0
101283,63.0,390854.51,493.0,458074.27,0,North,Retired,male,Divorced,04/13/2024,0
100078,50.0,435198.5,357.0,429307.14,4,South,Retired,male,Married,29-Jan-2023,1
100838,18.0,169771.02,395.0,347742.35,4,Central,Self-Employed,M,Widowed,03-Nov-2023,0
100032,23.0,855938.28,592.0,299749.24,3,Central,Unemployed,M,Widowed,2023-01-12,0
100462,60.0,836374.73,599.0,387651.15,0,Central,Self-Employed,Female,Married,18-Jun-2023,0
100746,48.0,621707.9,825.0,370749.34,4,Central,Unemployed,F,Widowed,30-Sep-2023,0
101847,48.0,651801.77,363.0,606212.3,0,Central,Unemployed,male,Married,11/05/2024,0
100422,61.0,421044.13,477.0,72039.03,1,West,Retired,F,Married,04-Jun-2023,0
100163,41.0,426448.16,395.0,516362.85,3,West,Unemployed,female,Widowed,03/01/2023,0
100203,57.0,,805.0,123844.57,3,South,Self-Employed,FEMALE,Divorced,03/16/2023,0
101414,51.0,847585.15,316.0,109599.83,0,Central,Employed,MALE ,Widowed,31-May-2024,0
100289,44.0,843623.68,604.0,505697.17,2,Central,Unemployed,Female,Married,16/04/2023,0
100937,26.0,804776.25,686.0,235161.32,0,South,Unemployed,Male,Single,09/12/2023,0
100780,68.0,728454.76,511.0,392373.01,0,East,Self-Employed,MALE ,Widowed,2023-10-12,0
100538,48.0,774679.86,350.0,432354.81,3,North,Unemployed,male,Single,16-Jul-2023,0
101995,18.0,,684.0,514616.23,3,North,Employed,male,Single,12/29/2024,0
100363,68.0,180502.81,512.0,400040.52,0,South,Retired,Female,Married,05/13/2023,0
101811,55.0,766374.19,343.0,572274.29,0,East,Retired,MALE ,Divorced,10/23/2024,0
101454,50.0,579816.65,542.0,465617.27,0,West,Self-Employed,FEMALE,Divorced,14-Jun-2024,0
101392,74.0,1042833.95,427.0,565369.98,0,South,Self-Employed,F,Widowed,2024-05-23,0
100218,43.0,305903.13,462.0,200253.29,3,South,Retired,FEMALE,Widowed,21-Mar-2023,0
101960,65.0,719204.93,451.0,375679.82,0,South,Self-Employed,FEMALE,Single,2024-12-16,0
101668,48.0,951856.26,701.0,538199.53,3,South,Retired,F,Single,2024-09-01,0
101326,56.0,543348.75,590.0,511096.41,3,North,Employed,Female,Widowed,29-Apr-2024,0
100610,65.0,,412.0,296732.18,2,Central,Employed,MALE ,Divorced,11-Aug-2023,0
